2008,5.8,0.48,Far Cry 2(PC),PC
2014,5.9,0.47,World of Warcraft: Warlords of Draenor(PC),PC
2009,8.1,0.47,"Warhammer 40,000: Dawn of War II(PC)",PC
2014,6,0.46,Football Manager 2015(PC),PC
2010,7.3,0.46,The Sims 3: Ambitions(PC),PC
2011,5.6,0.46,The Sims 3: Outdoor Living Stuff(PC),PC
2014,8.2,0.45,Wolfenstein: The New Order(PC),PC
2014,4.7,0.45,Watch Dogs(PC),PC
2012,7.6,0.43,Max Payne 3(PC),PC
2006,7.6,0.43,Microsoft Flight Simulator X(PC),PC
1998,8.6,0.41,Tomb Raider: The Last Revelation(PC),PC
2016,5.8,0.41,Tom Clancy's The Division(PC),PC
2007,8.5,0.41,BioShock(PC),PC
2014,4.5,0.41,Call of Duty: Advanced Warfare(PC),PC
2011,5.7,0.41,Duke Nukem Forever(PC),PC
2013,4.6,0.4,FIFA 14(PC),PC
2012,6.6,0.4,FIFA Soccer 13(PC),PC
2010,7.9,0.4,Mafia II(PC),PC
2010,8.8,0.39,Mass Effect 2(PC),PC
2016,7.6,0.38,Battlefield 1(PC),PC
2011,8.1,0.38,Saints Row: The Third(PC),PC
2009,8.8,0.38,Dawn of Discovery(PC),PC
2005,7.7,0.38,Age of Empires III(PC),PC
2010,6.7,0.37,Need for Speed: Hot Pursuit(PC),PC
2011,5.2,0.37,Rage(PC),PC
2008,8,0.37,Medieval II: Total War Gold Edition(PC),PC
2011,5.8,0.36,Need for Speed: The Run(PC),PC
2014,5.5,0.36,Sid Meier's Civilization: Beyond Earth(PC),PC
2009,8.5,0.36,Left 4 Dead 2(PC),PC
2014,8,0.35,Middle-Earth: Shadow of Mordor(PC),PC
2015,6.9,0.35,Football Manager 2016(PC),PC
2013,2.1,0.34,Company of Heroes 2(PC),PC
2011,6.3,0.34,The Sims 3: Town Life Stuff(PC),PC
2012,5.4,0.33,Medal of Honor: Warfighter(PC),PC
2008,8.5,0.32,The Witcher: Enhanced Edition(PC),PC
2011,8.3,0.32,Dead Space 2(PC),PC
2009,8.7,0.32,Batman: Arkham Asylum(PC),PC
2016,7.5,0.32,World of Warcraft: Legion(PC),PC
2011,5.4,0.32,Fable III(PC),PC
2013,7.5,0.31,Batman: Arkham Origins(PC),PC
2010,5.2,0.31,The Settlers 7: Paths to a Kingdom(PC),PC
2012,6.6,0.3,Kingdoms of Amalur: Reckoning(PC),PC
2006,8.3,0.3,1701 A.D.(PC),PC
2004,8.8,0.29,The Sims 2(PC),PC
2005,8.5,0.29,Need for Speed: Most Wanted(PC),PC
