Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Spider-Man 2,GC,2004,Action,Activision,0.84,8.8,,2004,8.8,0.84,Spider-Man 2,GC,8.8
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.84,7.9,,2012,7.9,0.84, Tales of Xillia 2,PS3,7.9
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.84,7.9,,2009,7.9,0.84,Ghostbusters: The Video Game,PS3,7.9
The Incredibles,GC,2004,Action,THQ,0.84,7.1,,2004,7.1,0.84,The Incredibles,GC,7.1
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.84,8.9,,2015,8.9,0.84,Xenoblade Chronicles X,WiiU,8.9
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.84,7.8,,2009,7.8,0.84,NBA 2K10,PS3,7.8
Skate 2,PS3,2009,Sports,Electronic Arts,0.84,7.8,,2009,7.8,0.84,Skate 2,PS3,7.8
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.84,5.3,,2002,5.3,0.84,Big Mutha Truckers,PS2,5.3
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.84,7.6,,2014,7.6,0.84,The Evil Within,PS3,7.6
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.84,8.4,,2005,8.4,0.84,Rogue Galaxy,PS2,8.4
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.84,8.1,,2004,8.1,0.84,ESPN College Hoops 2K5,PS2,8.1
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.84,6.2,,2013,6.2,0.84,NCAA Football 14,PS3,6.2
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.84,4.9,,2007,4.9,0.84,Harry Potter and the Order of the Phoenix,DS,4.9
Sniper Elite V2,X360,2012,Shooter,505 Games,0.84,6.8,,2012,6.8,0.84,Sniper Elite V2,X360,6.8
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.84,9,,2004,9,0.84,Metroid: Zero Mission,GBA,9
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,0.84,7.6,,2007,7.6,0.84,Ben 10: Protector of Earth,PS2,7.6
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.84,8.4,,2005,8.4,0.84,Burnout Legends,PSP,8.4
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.83,6.7,,2007,6.7,0.83,Blazing Angels: Squadrons of WWII,Wii,6.7
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.83,7.2,,2008,7.2,0.83,Madden NFL 09 All-Play,Wii,7.2
Dynasty Warriors 2,PS2,2000,Action,THQ,0.83,8.8,,2000,8.8,0.83,Dynasty Warriors 2,PS2,8.8
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.83,7.4,,2007,7.4,0.83,Time Crisis 4,PS3,7.4
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.83,4.4,,2011,4.4,0.83,Duke Nukem Forever,X360,4.4
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.83,5,,2004,5,0.83,Lizzie McGuire 2: Lizzie Diaries,GBA,5
NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.83,5.8,,2011,5.8,0.83,NCAA Football 12,PS3,5.8
Brute Force,XB,2003,Shooter,Microsoft Game Studios,0.83,7.8,,2003,7.8,0.83,Brute Force,XB,7.8
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.83,6.7,,2010,6.7,0.83,Tiger Woods PGA Tour 11,PS3,6.7
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.83,8.5,,2008,8.5,0.83,WWE SmackDown vs. Raw 2009,Wii,8.5
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.83,8.8,,2005,8.8,0.83,Sly 3: Honor Among Thieves,PS2,8.8
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.83,7.4,,2009,7.4,0.83,Need for Speed: Nitro,Wii,7.4
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.83,5.3,,2012,5.3,0.83,Street Fighter X Tekken,PS3,5.3
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.83,7.8,,2008,7.8,0.83,Sid Meier's Civilization Revolution,X360,7.8
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.83,7.6,,2011,7.6,0.83,Tales of the Abyss,3DS,7.6
Dragon Age II,PS3,2011,Action,Electronic Arts,0.83,4.3,,2011,4.3,0.83,Dragon Age II,PS3,4.3
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.82,1.8,,2011,1.8,0.82,Call of Duty: Modern Warfare 3,Wii,1.8
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.82,8.3,,2012,8.3,0.82,God of War Saga,PS3,8.3
James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,0.82,7.8,,2002,7.8,0.82,James Bond 007: Nightfire,XB,7.8
Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.82,9,,2001,9,0.82,Tony Hawk's Pro Skater 3,GC,9
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,0.82,8.2,,2006,8.2,0.82,Marvel: Ultimate Alliance,PS2,8.2
DJ Hero 2,X360,2010,Misc,Activision,0.82,7.9,,2010,7.9,0.82,DJ Hero 2,X360,7.9
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.82,8.2,,2007,8.2,0.82,Harvest Moon: Tree of Tranquility,Wii,8.2
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,0.82,8,,2005,8,0.82,Tony Hawk's Underground 2 Remix,PSP,8
Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,0.82,6.4,,2002,6.4,0.82,Need for Speed: Hot Pursuit 2,XB,6.4
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.82,9,,2001,9,0.82,Amped: Freestyle Snowboarding,XB,9
The Price is Right,Wii,2008,Misc,Ubisoft,0.82,4.3,,2008,4.3,0.82,The Price is Right,Wii,4.3
Stranglehold,X360,2007,Shooter,Midway Games,0.82,7.6,,2007,7.6,0.82,Stranglehold,X360,7.6
Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,0.82,6.6,,2002,6.6,0.82,Rocket Power: Beach Bandits,PS2,6.6
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.82,8.9,,2008,8.9,0.82,Shin Megami Tensei: Persona 4,PS2,8.9
Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.82,8.8,,2012,8.8,0.82,Devil May Cry HD Collection,PS3,8.8
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.81,8,,2012,8,0.81,Dance Central 3,X360,8
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.81,8.7,,2000,8.7,0.81,Tales of Destiny II,PS,8.7
NASCAR 2001,PS,2000,Racing,Electronic Arts,0.81,6.1,,2000,6.1,0.81,NASCAR 2001,PS,6.1
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,0.81,7.2,,2004,7.2,0.81,The Legend of Zelda: Four Swords Adventures,GC,7.2
MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.81,8.7,,2005,8.7,0.81,MediEvil: Resurrection,PSP,8.7
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.81,8.8,,1999,8.8,0.81,Valkyrie Profile,PS,8.8
Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.81,8.7,,2007,8.7,0.81,Patapon,PSP,8.7
Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.81,7.6,,2009,7.6,0.81,Pro Evolution Soccer 2010,X360,7.6
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,0.81,8.2,,2004,8.2,0.81,Tom Clancy's Rainbow Six 3,PS2,8.2
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.81,5.9,,2013,5.9,0.81,Madden NFL 25,XOne,5.9
NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.81,6.9,,2009,6.9,0.81,NCAA Football 10,PS3,6.9
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.81,7.1,,2010,7.1,0.81,Guitar Hero: Warriors of Rock,PS3,7.1
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,0.81,7.2,,2008,7.2,0.81,Battle of Giants: Dinosaurs,DS,7.2
The Sims 2,PS2,2005,Simulation,Electronic Arts,0.81,4.4,,2005,4.4,0.81,The Sims 2,PS2,4.4
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.81,7.5,,2010,7.5,0.81,Dragon Ball: Raging Blast 2,PS3,7.5
Yakuza,PS2,2005,Action,Sega,0.8,8.2,,2005,8.2,0.8,Yakuza,PS2,8.2
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,0.8,7,,2006,7,0.8,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,7
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,LucasArts,0.8,7.6,,2003,7.6,0.8,Star Wars Rogue Squadron III: Rebel Strike,GC,7.6
Hitman: Contracts,PS2,2004,Shooter,Eidos Interactive,0.8,8.3,,2004,8.3,0.8,Hitman: Contracts,PS2,8.3
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,0.8,8.5,,2012,8.5,0.8,Professor Layton vs Phoenix Wright: Ace Attorney,3DS,8.5
Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.8,7.8,,2008,7.8,0.8,Ben 10: Alien Force,Wii,7.8
Final Fantasy Anthology,PS,1999,Role-Playing,Square EA,0.8,8.1,,1999,8.1,0.8,Final Fantasy Anthology,PS,8.1
DiRT 2,X360,2009,Racing,Codemasters,0.8,8.2,,2009,8.2,0.8,DiRT 2,X360,8.2
Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft,0.8,7.5,,2004,7.5,0.8,Prince of Persia: Warrior Within,XB,7.5
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.8,8.9,,2013,8.9,0.8,Killzone: Mercenary,PSV,8.9
Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.8,4.6,,2009,4.6,0.8,Pro Evolution Soccer 2010,PSP,4.6
Guitar Hero: Metallica,X360,2009,Misc,Activision,0.8,8.1,,2009,8.1,0.8,Guitar Hero: Metallica,X360,8.1
Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.8,8.5,,2013,8.5,0.8,Final Fantasy X / X-2 HD Remaster,PSV,8.5
Need for Speed: Hot Pursuit 2,GC,2002,Racing,Electronic Arts,0.8,8.3,,2002,8.3,0.8,Need for Speed: Hot Pursuit 2,GC,8.3
Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.8,7,,2007,7,0.8,Rayman Raving Rabbids 2,DS,7
The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,0.79,7.3,,2006,7.3,0.79,The Sims 2: Pets,PSP,7.3
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,Atari,0.79,8.6,,2006,8.6,0.79,Dragon Ball Z: Budokai Tenkaichi 2,PS2,8.6
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.79,6.3,,2008,6.3,0.79,Guitar Hero: Aerosmith,PS2,6.3
Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,LucasArts,0.79,6.4,,2009,6.4,0.79,Star Wars The Clone Wars: Republic Heroes,Wii,6.4
pro evolution soccer 2011,PSP,2010,Sports,Konami Digital Entertainment,0.79,5.8,,2010,5.8,0.79,pro evolution soccer 2011,PSP,5.8
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,Ubisoft,0.79,8.9,,2003,8.9,0.79,Harvest Moon: A Wonderful Life,GC,8.9
All Star Cheer Squad,Wii,2008,Sports,THQ,0.79,5.2,,2008,5.2,0.79,All Star Cheer Squad,Wii,5.2
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.79,5.3,,2013,5.3,0.79,DmC: Devil May Cry,PS3,5.3
Motocross Mania,PS,2001,Racing,Take-Two Interactive,0.79,5.3,,2001,5.3,0.79,Motocross Mania,PS,5.3
Darksiders II,X360,2012,Action,THQ,0.79,8,,2012,8,0.79,Darksiders II,X360,8
Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.79,5.4,,2013,5.4,0.79,Need for Speed Rivals,X360,5.4
[Prototype 2],X360,2012,Action,Activision,0.79,7,,2012,7,0.79,[Prototype 2],X360,7
Armored Core 2,PS2,2000,Simulation,Ubisoft,0.79,8.4,,2000,8.4,0.79,Armored Core 2,PS2,8.4
The Godfather II,X360,2009,Action,Electronic Arts,0.79,6.9,,2009,6.9,0.79,The Godfather II,X360,6.9
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.79,7.8,,2012,7.8,0.79,Dragon's Dogma,X360,7.8
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.79,7.1,,2015,7.1,0.79,Pro Evolution Soccer 2016,PS4,7.1
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.79,7.7,,2015,7.7,0.79,Rare Replay,XOne,7.7
Band Hero,X360,2009,Misc,Activision,0.79,5,,2009,5,0.79,Band Hero,X360,5
NCAA Football 08,PS2,2007,Sports,Electronic Arts,0.79,8.3,,2007,8.3,0.79,NCAA Football 08,PS2,8.3
FIFA Soccer 2004,XB,2003,Sports,Electronic Arts,0.79,8.2,,2003,8.2,0.79,FIFA Soccer 2004,XB,8.2
The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,0.79,7.3,,2007,7.3,0.79,The Sims 2: Castaway,PSP,7.3
Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.79,7.2,,2009,7.2,0.79,Star Ocean: The Last Hope,X360,7.2
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.79,6,,2011,6,0.79,Sniper: Ghost Warrior,PS3,6
Invizimals,PSP,2009,Strategy,Sony Computer Entertainment,0.79,7.3,,2009,7.3,0.79,Invizimals,PSP,7.3
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.78,5.1,,2014,5.1,0.78,Forza Horizon 2,X360,5.1
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.78,3.1,,2014,3.1,0.78,WWE 2K15,PS3,3.1
Too Human,X360,2008,Role-Playing,Microsoft Game Studios,0.78,7,,2008,7,0.78,Too Human,X360,7
Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,0.78,7.7,,2009,7.7,0.78,Tiger Woods PGA Tour 10,PS3,7.7
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,Ubisoft,0.78,8.1,,2006,8.1,0.78,Tom Clancy's Splinter Cell: Double Agent,X360,8.1
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,Namco Bandai Games,0.78,8.5,,2010,8.5,0.78,Naruto Shippuden: Ultimate Ninja Storm 2,X360,8.5
Golden Sun: Dark Dawn,DS,2010,Role-Playing,Nintendo,0.78,8.1,,2010,8.1,0.78,Golden Sun: Dark Dawn,DS,8.1
Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.78,7.4,,2011,7.4,0.78,Fight Night Champion,X360,7.4
Dead Island: Riptide,X360,2013,Action,Deep Silver,0.78,6.3,,2013,6.3,0.78,Dead Island: Riptide,X360,6.3
Madden NFL 16,PS3,2015,Sports,Electronic Arts,0.78,3.1,,2015,3.1,0.78,Madden NFL 16,PS3,3.1
Star Wars The Clone Wars: Jedi Alliance,DS,2008,Action,LucasArts,0.78,7.8,,2008,7.8,0.78,Star Wars The Clone Wars: Jedi Alliance,DS,7.8
The World Ends With You,DS,2007,Role-Playing,Square Enix,0.78,8.9,,2007,8.9,0.78,The World Ends With You,DS,8.9
Drawn to Life,DS,2007,Action,THQ,0.78,8.2,,2007,8.2,0.78,Drawn to Life,DS,8.2
Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.78,7.7,,2008,7.7,0.78,Sid Meier's Civilization Revolution,PS3,7.7
NBA 2K7,PS2,2006,Sports,Take-Two Interactive,0.78,8.4,,2006,8.4,0.78,NBA 2K7,PS2,8.4
James Bond 007: Nightfire,GC,2002,Shooter,Electronic Arts,0.78,8.6,,2002,8.6,0.78,James Bond 007: Nightfire,GC,8.6
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.78,6.3,,2011,6.3,0.78,Goldeneye 007: Reloaded,PS3,6.3
Rayman Origins,X360,2011,Platform,Ubisoft,0.78,8.2,,2011,8.2,0.78,Rayman Origins,X360,8.2
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.77,3.8,,2013,3.8,0.77,Aliens: Colonial Marines,X360,3.8
Lips,X360,2008,Misc,Microsoft Game Studios,0.77,7.4,,2008,7.4,0.77,Lips,X360,7.4
MadWorld,Wii,2009,Action,Sega,0.77,8.6,,2009,8.6,0.77,MadWorld,Wii,8.6
Need for Speed: ProStreet,PSP,2008,Racing,Electronic Arts,0.77,7.1,,2008,7.1,0.77,Need for Speed: ProStreet,PSP,7.1
Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.77,7.3,,2005,7.3,0.77,Perfect Dark Zero,X360,7.3
Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,Electronic Arts,0.77,6.3,,2005,6.3,0.77,Marvel Nemesis: Rise of the Imperfects,PS2,6.3
Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,0.77,8.5,,1999,8.5,0.77,Need for Speed: Porsche Unleashed,PS,8.5
Resident Evil: Operation Raccoon City,X360,2012,Action,Capcom,0.77,4.9,,2012,4.9,0.77,Resident Evil: Operation Raccoon City,X360,4.9
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.77,6.5,,2011,6.5,0.77,UFC Personal Trainer: The Ultimate Fitness System,X360,6.5
Worms: Open Warfare,PSP,2006,Strategy,THQ,0.77,6.6,,2006,6.6,0.77,Worms: Open Warfare,PSP,6.6
Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,0.77,5,,2002,5,0.77,Star Wars Episode II: Attack of the Clones,GBA,5
Ghost Squad,Wii,2007,Shooter,Sega,0.77,7.5,,2007,7.5,0.77,Ghost Squad,Wii,7.5
Maximo: Ghosts to Glory,PS2,2001,Platform,Capcom,0.77,8.7,,2001,8.7,0.77,Maximo: Ghosts to Glory,PS2,8.7
Donkey Kong Country 3,GBA,2005,Platform,Nintendo,0.77,8.4,,2005,8.4,0.77,Donkey Kong Country 3,GBA,8.4
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.77,8.4,,2002,8.4,0.77,All-Star Baseball 2003,PS2,8.4
Unlimited Saga,PS2,2002,Role-Playing,Atari,0.77,3,,2002,3,0.77,Unlimited Saga,PS2,3
Pokemon Dash,DS,2004,Racing,Nintendo,0.77,5.9,,2004,5.9,0.77,Pokemon Dash,DS,5.9
Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.77,7.2,,2009,7.2,0.77,Dragon Ball: Raging Blast,PS3,7.2
Twisted Metal: Head On,PSP,2005,Action,Sony Computer Entertainment,0.77,8.2,,2005,8.2,0.77,Twisted Metal: Head On,PSP,8.2
Sonic Unleashed,PS2,2008,Platform,Sega,0.76,6.7,,2008,6.7,0.76,Sonic Unleashed,PS2,6.7
Cabela's Deer Hunt: 2004 Season,PS2,2003,Sports,Activision Value,0.76,9,,2003,9,0.76,Cabela's Deer Hunt: 2004 Season,PS2,9
Driv3r,XB,2004,Racing,Atari,0.76,4.7,,2004,4.7,0.76,Driv3r,XB,4.7
ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,0.76,8.7,,1998,8.7,0.76,ISS Pro Evolution,PS,8.7
Need For Speed: Undercover,PSP,2008,Racing,Electronic Arts,0.76,6.8,,2008,6.8,0.76,Need For Speed: Undercover,PSP,6.8
Metroid Prime Hunters,DS,2006,Shooter,Nintendo,0.76,8,,2006,8,0.76,Metroid Prime Hunters,DS,8
Bayonetta 2,WiiU,2014,Action,Nintendo,0.76,8.2,,2014,8.2,0.76,Bayonetta 2,WiiU,8.2
Star Wars Battlefront: Elite Squadron,PSP,2009,Shooter,LucasArts,0.76,8,,2009,8,0.76,Star Wars Battlefront: Elite Squadron,PSP,8
Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,0.76,6.9,,2004,6.9,0.76,Syphon Filter: The Omega Strain,PS2,6.9
FIFA Soccer 11,PS2,2010,Sports,Electronic Arts,0.76,6.6,,2010,6.6,0.76,FIFA Soccer 11,PS2,6.6
The Sims 3,3DS,2011,Simulation,Electronic Arts,0.76,3.3,,2011,3.3,0.76,The Sims 3,3DS,3.3
Mortal Kombat: Deception,XB,2004,Fighting,Midway Games,0.76,8.8,,2004,8.8,0.76,Mortal Kombat: Deception,XB,8.8
That's So Raven,GBA,2004,Adventure,Disney Interactive Studios,0.76,7.6,,2004,7.6,0.76,That's So Raven,GBA,7.6
DJ Hero,Wii,2009,Misc,Activision,0.76,7.6,,2009,7.6,0.76,DJ Hero,Wii,7.6
Portal 2,PC,2011,Shooter,Valve Software,0.76,8.8,,2011,8.8,0.76,Portal 2,PC,8.8
Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.76,4.9,,2011,4.9,0.76,Duke Nukem Forever,PS3,4.9
Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.76,7.8,,2010,7.8,0.76,Star Wars: The Force Unleashed II,Wii,7.8
Harry Potter and the Half-Blood Prince,Wii,2009,Action,Electronic Arts,0.75,6,,2009,6,0.75,Harry Potter and the Half-Blood Prince,Wii,6
Wall-E,PS2,2008,Platform,THQ,0.75,8.4,,2008,8.4,0.75,Wall-E,PS2,8.4
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0.75,7.9,,2013,7.9,0.75,Professor Layton and the Azran Legacy,3DS,7.9
Mega Man X5,PS,2000,Platform,Capcom,0.75,8.9,,2000,8.9,0.75,Mega Man X5,PS,8.9
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.75,8.4,,2016,8.4,0.75,Titanfall 2,PS4,8.4
Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.75,5.8,,2006,5.8,0.75,Genji: Days of the Blade,PS3,5.8
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.75,7.3,,2015,7.3,0.75,Metal Gear Solid V: The Phantom Pain,XOne,7.3
Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.75,7.8,,2006,7.8,0.75,Rockstar Games presents Table Tennis,X360,7.8
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.75,6,,2009,6,0.75,Drawn to Life: The Next Chapter,Wii,6
PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.75,7,,2011,7,0.75,PokePark 2: Wonders Beyond,Wii,7
DJ Hero 2,PS3,2010,Misc,Activision,0.75,7.8,,2010,7.8,0.75,DJ Hero 2,PS3,7.8
WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,0.75,6,,2008,6,0.75,WWE SmackDown vs. Raw 2009,PSP,6
LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.75,5.2,,2012,5.2,0.75,LEGO Batman 2: DC Super Heroes,3DS,5.2
SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.75,6.7,,2012,6.7,0.75,SoulCalibur V,PS3,6.7
Shark Tale,PS2,2004,Action,Activision,0.75,6.5,,2004,6.5,0.75,Shark Tale,PS2,6.5
Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.75,7.4,,2001,7.4,0.75,Zone of the Enders,PS2,7.4
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.75,7.2,,2014,7.2,0.75,Pro Evolution Soccer 2015,PS4,7.2
Tony Hawk's Underground 2,XB,2004,Sports,Activision,0.75,7.8,,2004,7.8,0.75,Tony Hawk's Underground 2,XB,7.8
Madden NFL 06,PSP,2005,Sports,Electronic Arts,0.75,7.9,,2005,7.9,0.75,Madden NFL 06,PSP,7.9
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.75,7.6,,2010,7.6,0.75,Raving Rabbids: Travel in Time,Wii,7.6
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.75,7.9,,2001,7.9,0.75,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,7.9
MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.75,9,,2006,9,0.75,MVP 06 NCAA Baseball,PS2,9
Turok,X360,2008,Action,Touchstone,0.75,7.1,,2008,7.1,0.75,Turok,X360,7.1
Coded Arms,PSP,2005,Shooter,Konami Digital Entertainment,0.75,6.5,,2005,6.5,0.75,Coded Arms,PSP,6.5
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.75,6.9,,2007,6.9,0.75,Final Fantasy Tactics A2: Grimoire of the Rift,DS,6.9
The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.74,7.1,,2009,7.1,0.74,The Lord of the Rings: Conquest,PS3,7.1
Band Hero,PS3,2009,Misc,Activision,0.74,5.7,,2009,5.7,0.74,Band Hero,PS3,5.7
Burnout,PS2,2001,Racing,Acclaim Entertainment,0.74,7.7,,2001,7.7,0.74,Burnout,PS2,7.7
Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,0.74,7.9,,2007,7.9,0.74,Spectrobes,DS,7.9
The Godfather II,PS3,2009,Action,Electronic Arts,0.74,7.2,,2009,7.2,0.74,The Godfather II,PS3,7.2
Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.74,8.8,,2006,8.8,0.74,Mortal Kombat: Unchained,PSP,8.8
Need for Speed: Shift,PSP,2009,Racing,Electronic Arts,0.74,6.5,,2009,6.5,0.74,Need for Speed: Shift,PSP,6.5
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.74,7.9,,2014,7.9,0.74,Dark Souls II,X360,7.9
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.74,7.4,,2011,7.4,0.74,Assassin's Creed: Revelations,PC,7.4
[Prototype 2],PS3,2012,Action,Activision,0.74,6.8,,2012,6.8,0.74,[Prototype 2],PS3,6.8
Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.74,7.4,,2005,7.4,0.74,Midnight Club 3: DUB Edition,XB,7.4
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.74,7.2,,2013,7.2,0.74,Resident Evil: Revelations,PS3,7.2
Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,0.74,7.1,,2007,7.1,0.74,Tom Clancy's Rainbow Six: Vegas,PSP,7.1
Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.74,8.1,,2009,8.1,0.74,Red Faction: Guerrilla,PS3,8.1
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.74,6.7,,2011,6.7,0.74,Ace Combat: Assault Horizon,PS3,6.7
Unreal Championship,XB,2002,Shooter,Atari,0.74,8.2,,2002,8.2,0.74,Unreal Championship,XB,8.2
