Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,7.3,,2010,7.3,9.44,Just Dance 2,Wii,7.3
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36,2.6,,2013,2.6,9.36,Call of Duty: Ghosts,PS3,2.6
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31,8.4,,2007,8.4,9.31,Call of Duty 4: Modern Warfare,X360,8.4
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,8.7,,2012,8.7,9.16,Animal Crossing: New Leaf,3DS,8.7
Mario Party DS,DS,2007,Misc,Nintendo,8.91,7.8,,2007,7.8,8.91,Mario Party DS,DS,7.8
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.79,8.4,,2011,8.4,8.79,The Elder Scrolls V: Skyrim,X360,8.4
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,4.3,,2015,4.3,8.57,FIFA 16,PS4,4.3
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49,8.2,,2004,8.2,8.49,Halo 2,XB,8.2
Wii Party,Wii,2010,Misc,Nintendo,8.38,7.4,,2010,7.4,8.38,Wii Party,Wii,7.4
Mario Party 8,Wii,2007,Misc,Nintendo,8.27,6.3,,2007,6.3,8.27,Mario Party 8,Wii,6.3
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.16,6.6,,2012,6.6,8.16,FIFA Soccer 13,PS3,6.6
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,8.7,,2001,8.7,8.05,Final Fantasy X,PS2,8.7
The Sims 3,PC,2009,Simulation,Electronic Arts,8.01,7.6,,2009,7.6,8.01,The Sims 3,PC,7.6
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86,8.6,,1999,8.6,7.86,Final Fantasy VIII,PS,8.6
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72,8.5,,2008,8.5,7.72,Pokémon Platinum Version,DS,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69,7.6,,2005,7.6,7.69,Grand Theft Auto: Liberty City Stories,PSP,7.6
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.66,5.7,,2014,5.7,7.66,Call of Duty: Advanced Warfare,PS4,5.7
FIFA 17,PS4,2016,Sports,Electronic Arts,7.59,5,,2016,5,7.59,FIFA 17,PS4,5
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.51,9.1,,2010,9.1,7.51,Super Mario Galaxy 2,Wii,9.1
Call of Duty: World at War,X360,2008,Shooter,Activision,7.38,7.6,,2008,7.6,7.38,Call of Duty: World at War,X360,7.6
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.32,7.4,,2011,7.4,7.32,Battlefield 3,X360,7.4
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2,8.6,,2003,8.6,7.2,Need for Speed Underground,PS2,8.6
Just Dance,Wii,2009,Misc,Ubisoft,7.2,8,,2009,8,7.2,Just Dance,Wii,8
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.17,7.5,,2011,7.5,7.17,Battlefield 3,PS3,7.5
