2002,9.1,2.7,The Legend of Zelda: A Link to the Past(GBA),GBA
2010,7.7,2.67,Mario vs. Donkey Kong: Mini-Land Mayhem!(DS),DS
2009,8.7,2.67,Professor Layton and the Last Specter(DS),DS
2006,6.7,2.65,Hannah Montana(DS),DS
2007,8,2.58,Mario Strikers Charged(Wii),Wii
2008,7.7,2.58,Style Savvy(DS),DS
2001,8.3,2.56,Sonic Adventure 2 Battle(GC),GC
2003,8,2.54,Pokémon Colosseum(GC),GC
2010,8,2.52,Art Academy(DS),DS
2012,7,2.52,Skylanders Giants(Wii),Wii
2008,5.4,2.5,Deca Sports(Wii),Wii
2007,4.3,2.48,Game Party(Wii),Wii
2002,7.4,2.47,Mario Party 4(GC),GC
2010,8,2.43,LEGO Harry Potter: Years 1-4(Wii),Wii
2015,9,2.34,The Legend of Zelda: Majora's Mask 3D(3DS),3DS
2008,8.6,2.32,My Fitness Coach(Wii),Wii
2012,5.6,2.3,Paper Mario: Sticker Star(3DS),3DS
2010,7.2,2.28,LEGO Harry Potter: Years 1-4(DS),DS
2008,8.2,2.28,Pokemon Ranger: Shadows of Almia(DS),DS
2002,8.9,2.27,Kirby: Nightmare in Dream Land(GBA),GBA
2001,8.9,2.26,Wario Land 4(GBA),GBA
2004,9.4,2.25,Paper Mario: The Thousand-Year Door(GC),GC
2001,8.1,2.24,Sonic Advance(GBA),GBA
2006,5.7,2.24,Super Monkey Ball: Banana Blitz(Wii),Wii
2013,7.9,2.24,New Super Luigi U(WiiU),WiiU
2001,8,2.23,Spyro: Season of Ice(GBA),GBA
2009,8.6,2.22,Monster Hunter Tri(Wii),Wii
2008,7.9,2.2,LEGO Indiana Jones: The Original Adventures(DS),DS
2009,7.6,2.16,Scribblenauts(DS),DS
2008,7.3,2.16,Sonic Unleashed(Wii),Wii
2006,7.6,2.15,Pokemon Ranger(DS),DS
2013,6.6,2.15,Skylanders SWAP Force(Wii),Wii
2003,7.8,2.13,Final Fantasy Tactics Advance(GBA),GBA
2009,5.2,2.12,Your Shape featuring Jenny McCarthy(Wii),Wii
2006,8.7,2.1,Tetris DS(DS),DS
2006,7.1,2.08,Final Fantasy III(DS),DS
2003,8.2,2.08,Mario Party 5(GC),GC
2010,7.1,2.08,Mario Sports Mix(Wii),Wii
2006,5.2,2.07,The Sims 2: Pets(DS),DS
2007,7.1,2.07,Dance Dance Revolution: Hottest Party(Wii),Wii
2002,8.8,2.05,Sonic Mega Collection(GC),GC
2003,8.9,2.04,Donkey Kong Country(GBA),GBA
2008,3.3,2.03,Carnival Games(DS),DS
2008,7.7,2.03,Rayman Raving Rabbids: TV Party(Wii),Wii
2005,8.1,2.02,Pokémon Mystery Dungeon: Blue Rescue Team(DS),DS
2012,9.1,2.01,Fire Emblem: Awakening(3DS),3DS
2014,8.4,2.01,Just Dance 2015(Wii),Wii
2007,5.7,2,TouchMaster(DS),DS
2002,7.9,1.99,Harry Potter and the Chamber of Secrets(GBA),GBA
2009,7.8,1.98,Kingdom Hearts 358/2 Days(DS),DS
2006,8.1,1.94,Kirby Squeak Squad(DS),DS
2008,7.6,1.94,Call of Duty: World at War(Wii),Wii
2013,6.3,1.92,Mario Party: Island Tour(3DS),3DS
2001,8.6,1.9,Star Wars Rogue Leader: Rogue Squadron II(GC),GC
